2019-07-28 20:31:49 [INFO] Mark column period_activity.unit_id as foreign reference for unit
2019-07-28 20:31:49 [INFO] Mark column unit.id as local reference for unit
2019-07-28 20:31:49 [INFO] Processing index "period_calendar.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "period_duration.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "proccess.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "proccess_regulation_art.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "proccess_regulation_art.fk_proccess_regulation_art_proccess1_idx"
2019-07-28 20:31:49 [INFO] Processing index "proccess_regulation_art.fk_proccess_regulation_art_regulation_art1_idx"
2019-07-28 20:31:49 [INFO] Processing foreign key "proccess_regulation_art.fk_proccess_regulation_art_proccess1"
2019-07-28 20:31:49 [INFO] Mark column proccess_regulation_art.proccess_id as foreign reference for proccess
2019-07-28 20:31:49 [INFO] Mark column proccess.id as local reference for proccess
2019-07-28 20:31:49 [INFO] Processing foreign key "proccess_regulation_art.fk_proccess_regulation_art_regulation_art1"
2019-07-28 20:31:49 [INFO] Mark column proccess_regulation_art.regulation_art_id as foreign reference for regulation_art
2019-07-28 20:31:49 [INFO] Mark column regulation_art.id as local reference for regulation_art
2019-07-28 20:31:49 [INFO] Processing index "proccess_rule.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "proccess_rule.fk_proccess_rule_proccess1_idx"
2019-07-28 20:31:49 [INFO] Processing foreign key "proccess_rule.fk_proccess_rule_proccess1"
2019-07-28 20:31:49 [INFO] Mark column proccess_rule.proccess_id as foreign reference for proccess
2019-07-28 20:31:49 [INFO] Mark column proccess.id as local reference for proccess
2019-07-28 20:31:49 [INFO] Processing index "proccess_system.fk_proccess_system_proccess1_idx"
2019-07-28 20:31:49 [INFO] Processing index "proccess_system.fk_proccess_system_system1_idx"
2019-07-28 20:31:49 [INFO] Processing index "proccess_system.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing foreign key "proccess_system.fk_proccess_system_proccess1"
2019-07-28 20:31:49 [INFO] Mark column proccess_system.proccess_id as foreign reference for proccess
2019-07-28 20:31:49 [INFO] Mark column proccess.id as local reference for proccess
2019-07-28 20:31:49 [INFO] Processing foreign key "proccess_system.fk_proccess_system_system1"
2019-07-28 20:31:49 [INFO] Mark column proccess_system.system_id as foreign reference for system
2019-07-28 20:31:49 [INFO] Mark column system.id as local reference for system
2019-07-28 20:31:49 [INFO] Processing index "question.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "question.fk_question_responsable1_idx"
2019-07-28 20:31:49 [INFO] Processing index "question.fk_question_proccess1_idx"
2019-07-28 20:31:49 [INFO] Processing foreign key "question.fk_question_responsable1"
2019-07-28 20:31:49 [INFO] Mark column question.responsable_id as foreign reference for responsable
2019-07-28 20:31:49 [INFO] Mark column responsable.id as local reference for responsable
